:Data_list: 20130510_Gp_xr_5m.txt
:Created: 2013 May 11 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 10  0000   56422      0     1.72e-08    1.33e-06    1.29e-02
2013 05 10  0005   56422    300     2.18e-08    1.29e-06    1.70e-02
2013 05 10  0010   56422    600     3.34e-08    1.35e-06    2.46e-02
2013 05 10  0015   56422    900     4.68e-08    1.51e-06    3.09e-02
2013 05 10  0020   56422   1200     2.77e-08    1.37e-06    2.02e-02
2013 05 10  0025   56422   1500     2.64e-08    1.30e-06    2.02e-02
2013 05 10  0030   56422   1800     1.41e-08    1.15e-06    1.22e-02
2013 05 10  0035   56422   2100     1.44e-08    1.10e-06    1.31e-02
2013 05 10  0040   56422   2400     2.55e-08    1.20e-06    2.12e-02
2013 05 10  0045   56422   2700     1.55e-06    4.85e-06    2.12e-01
2013 05 10  0050   56422   3000     9.28e-06    2.79e-05    3.40e-01
2013 05 10  0055   56422   3300     8.16e-06    3.88e-05    2.10e-01
2013 05 10  0100   56422   3600     3.95e-06    3.19e-05    1.22e-01
2013 05 10  0105   56422   3900     1.80e-06    2.12e-05    8.42e-02
2013 05 10  0110   56422   4200     9.45e-07    1.41e-05    6.65e-02
2013 05 10  0115   56422   4500     7.22e-07    1.14e-05    6.29e-02
2013 05 10  0120   56422   4800     4.13e-07    8.28e-06    4.96e-02
2013 05 10  0125   56422   5100     2.86e-07    6.17e-06    4.63e-02
2013 05 10  0130   56422   5400     2.85e-07    5.04e-06    5.68e-02
2013 05 10  0135   56422   5700     2.87e-07    4.58e-06    6.26e-02
2013 05 10  0140   56422   6000     1.69e-07    3.75e-06    4.49e-02
2013 05 10  0145   56422   6300     1.17e-07    3.11e-06    3.77e-02
2013 05 10  0150   56422   6600     8.43e-08    2.65e-06    3.17e-02
2013 05 10  0155   56422   6900     6.43e-08    2.32e-06    2.77e-02
2013 05 10  0200   56422   7200     4.57e-08    2.03e-06    2.25e-02
2013 05 10  0205   56422   7500     3.56e-08    1.83e-06    1.94e-02
2013 05 10  0210   56422   7800     3.23e-08    1.75e-06    1.83e-02
2013 05 10  0215   56422   8100     3.84e-08    1.76e-06    2.17e-02
2013 05 10  0220   56422   8400     2.97e-08    1.67e-06    1.76e-02
2013 05 10  0225   56422   8700     2.30e-08    1.51e-06    1.52e-02
2013 05 10  0230   56422   9000     2.21e-08    1.42e-06    1.55e-02
2013 05 10  0235   56422   9300     1.93e-08    1.41e-06    1.37e-02
2013 05 10  0240   56422   9600     1.02e-07    2.16e-06    4.05e-02
2013 05 10  0245   56422   9900     8.99e-08    2.33e-06    3.71e-02
2013 05 10  0250   56422  10200     2.77e-08    1.59e-06    1.74e-02
2013 05 10  0255   56422  10500     5.38e-08    1.53e-06    3.32e-02
2013 05 10  0300   56422  10800     1.12e-07    2.07e-06    5.37e-02
2013 05 10  0305   56422  11100     4.07e-08    1.61e-06    2.48e-02
2013 05 10  0310   56422  11400     5.97e-08    1.71e-06    3.48e-02
2013 05 10  0315   56422  11700     7.43e-08    1.76e-06    4.21e-02
