:Data_list: 20130513_Gp_xr_5m.txt
:Created: 2013 May 14 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 13  0000   56425      0     6.07e-08    1.52e-06    3.98e-02
2013 05 13  0005   56425    300     3.31e-08    1.41e-06    2.34e-02
2013 05 13  0010   56425    600     5.29e-08    1.52e-06    3.42e-02
2013 05 13  0015   56425    900     1.53e-07    2.01e-06    7.55e-02
2013 05 13  0020   56425   1200     7.42e-08    1.79e-06    4.08e-02
2013 05 13  0025   56425   1500     3.45e-08    1.49e-06    2.30e-02
2013 05 13  0030   56425   1800     4.64e-08    1.47e-06    3.06e-02
2013 05 13  0035   56425   2100     1.41e-06    6.80e-06    2.09e-01
2013 05 13  0040   56425   2400     9.39e-07    7.58e-06    1.21e-01
2013 05 13  0045   56425   2700     3.47e-07    4.58e-06    7.49e-02
2013 05 13  0050   56425   3000     1.84e-07    3.11e-06    5.89e-02
2013 05 13  0055   56425   3300     1.33e-07    2.55e-06    5.23e-02
2013 05 13  0100   56425   3600     1.19e-07    2.37e-06    5.02e-02
2013 05 13  0105   56425   3900     1.04e-07    2.24e-06    4.65e-02
2013 05 13  0110   56425   4200     1.06e-07    2.16e-06    4.92e-02
2013 05 13  0115   56425   4500     1.16e-07    2.22e-06    5.20e-02
2013 05 13  0120   56425   4800     9.88e-08    2.16e-06    4.51e-02
2013 05 13  0125   56425   5100     7.98e-08    1.92e-06    4.11e-02
2013 05 13  0130   56425   5400     7.11e-08    1.90e-06    3.71e-02
2013 05 13  0135   56425   5700     3.72e-08    1.63e-06    2.28e-02
2013 05 13  0140   56425   6000     3.16e-08    1.53e-06    2.07e-02
2013 05 13  0145   56425   6300     4.77e-08    1.60e-06    2.98e-02
