:Data_list: 20130515_Gp_xr_5m.txt
:Created: 2013 May 16 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 15  0000   56427      0     1.44e-08    1.02e-06    1.42e-02
2013 05 15  0005   56427    300     1.38e-08    9.80e-07    1.40e-02
2013 05 15  0010   56427    600     9.03e-09    9.03e-07    9.98e-03
2013 05 15  0015   56427    900     8.41e-09    8.94e-07    9.41e-03
2013 05 15  0020   56427   1200     1.40e-08    9.27e-07    1.50e-02
2013 05 15  0025   56427   1500     2.46e-08    1.04e-06    2.35e-02
2013 05 15  0030   56427   1800     3.21e-08    1.14e-06    2.81e-02
2013 05 15  0035   56427   2100     4.21e-08    1.26e-06    3.32e-02
2013 05 15  0040   56427   2400     6.10e-08    1.47e-06    4.13e-02
2013 05 15  0045   56427   2700     6.32e-08    1.52e-06    4.17e-02
2013 05 15  0050   56427   3000     5.64e-08    1.50e-06    3.75e-02
2013 05 15  0055   56427   3300     5.04e-08    1.49e-06    3.37e-02
2013 05 15  0100   56427   3600     4.25e-08    1.41e-06    3.01e-02
2013 05 15  0105   56427   3900     3.84e-08    1.39e-06    2.76e-02
2013 05 15  0110   56427   4200     4.87e-08    1.46e-06    3.33e-02
2013 05 15  0115   56427   4500     8.33e-08    1.71e-06    4.82e-02
2013 05 15  0120   56427   4800     1.99e-07    2.55e-06    7.66e-02
2013 05 15  0125   56427   5100     4.93e-07    4.32e-06    1.12e-01
2013 05 15  0130   56427   5400     1.47e-06    8.83e-06    1.64e-01
2013 05 15  0135   56427   5700     6.17e-06    2.43e-05    2.42e-01
2013 05 15  0140   56427   6000     2.44e-05    7.84e-05    3.11e-01
2013 05 15  0145   56427   6300     3.05e-05    1.25e-04    2.44e-01
2013 05 15  0150   56427   6600     1.90e-05    1.06e-04    1.78e-01
2013 05 15  0155   56427   6900     1.16e-05    7.02e-05    1.65e-01
2013 05 15  0200   56427   7200     7.80e-06    5.00e-05    1.56e-01
2013 05 15  0205   56427   7500     5.52e-06    3.84e-05    1.43e-01
2013 05 15  0210   56427   7800     4.20e-06    3.05e-05    1.38e-01
2013 05 15  0215   56427   8100     3.53e-06    2.57e-05    1.37e-01
2013 05 15  0220   56427   8400     3.13e-06    2.29e-05    1.37e-01
2013 05 15  0225   56427   8700     2.88e-06    2.12e-05    1.36e-01
2013 05 15  0230   56427   9000     2.58e-06    1.97e-05    1.31e-01
2013 05 15  0235   56427   9300     2.27e-06    1.82e-05    1.25e-01
2013 05 15  0240   56427   9600     1.97e-06    1.68e-05    1.17e-01
2013 05 15  0245   56427   9900     1.71e-06    1.53e-05    1.12e-01
2013 05 15  0250   56427  10200     1.51e-06    1.40e-05    1.08e-01
2013 05 15  0255   56427  10500     1.30e-06    1.26e-05    1.03e-01
2013 05 15  0300   56427  10800     1.14e-06    1.15e-05    9.94e-02
2013 05 15  0305   56427  11100     9.93e-07    1.05e-05    9.47e-02
2013 05 15  0310   56427  11400     8.69e-07    9.59e-06    9.06e-02
