:Data_list: 20130512_Gp_xr_5m.txt
:Created: 2013 May 13 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 12  0000   56424      0     1.72e-09    8.89e-07    1.94e-03
2013 05 12  0005   56424    300     2.81e-09    9.06e-07    3.10e-03
2013 05 12  0010   56424    600     1.92e-09    8.92e-07    2.15e-03
2013 05 12  0015   56424    900     1.41e-09    9.00e-07    1.56e-03
2013 05 12  0020   56424   1200     1.30e-09    8.78e-07    1.49e-03
2013 05 12  0025   56424   1500     1.75e-09    8.69e-07    2.01e-03
2013 05 12  0030   56424   1800     4.45e-09    8.84e-07    5.01e-03
2013 05 12  0035   56424   2100     5.84e-09    8.98e-07    6.50e-03
2013 05 12  0040   56424   2400     4.41e-09    9.01e-07    4.89e-03
2013 05 12  0045   56424   2700     2.60e-09    8.99e-07    2.88e-03
2013 05 12  0050   56424   3000     4.37e-09    9.33e-07    4.61e-03
2013 05 12  0055   56424   3300     7.01e-09    9.50e-07    7.32e-03
2013 05 12  0100   56424   3600     2.04e-09    8.82e-07    2.31e-03
2013 05 12  0105   56424   3900     2.05e-09    8.74e-07    2.34e-03
2013 05 12  0110   56424   4200     1.07e-09    8.29e-07    1.29e-03
2013 05 12  0115   56424   4500     1.01e-09    7.83e-07    1.29e-03
2013 05 12  0120   56424   4800     1.00e-09    7.58e-07    1.32e-03
2013 05 12  0125   56424   5100     1.03e-09    7.44e-07    1.38e-03
2013 05 12  0130   56424   5400     1.28e-09    7.54e-07    1.70e-03
2013 05 12  0135   56424   5700     3.49e-09    7.67e-07    4.55e-03
2013 05 12  0140   56424   6000     1.48e-09    7.51e-07    1.97e-03
