:Data_list: 20130516_Gp_xr_5m.txt
:Created: 2013 May 16 1935 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 16  0000   56428      0     1.01e-09    6.89e-07    1.46e-03
2013 05 16  0005   56428    300     1.02e-09    6.83e-07    1.49e-03
2013 05 16  0010   56428    600     1.14e-09    6.82e-07    1.67e-03
2013 05 16  0015   56428    900     1.00e-09    6.98e-07    1.43e-03
2013 05 16  0020   56428   1200     1.30e-09    7.16e-07    1.80e-03
2013 05 16  0025   56428   1500     3.07e-09    7.62e-07    4.04e-03
2013 05 16  0030   56428   1800     3.31e-09    7.70e-07    4.30e-03
2013 05 16  0035   56428   2100     1.01e-09    7.54e-07    1.34e-03
2013 05 16  0040   56428   2400     1.02e-09    7.27e-07    1.41e-03
2013 05 16  0045   56428   2700     6.91e-09    8.08e-07    8.23e-03
2013 05 16  0050   56428   3000     4.85e-09    8.04e-07    5.97e-03
2013 05 16  0055   56428   3300     2.30e-09    7.29e-07    3.14e-03
2013 05 16  0100   56428   3600     1.10e-09    7.00e-07    1.57e-03
2013 05 16  0105   56428   3900     1.63e-09    6.81e-07    2.40e-03
2013 05 16  0110   56428   4200     5.91e-09    7.49e-07    7.89e-03
2013 05 16  0115   56428   4500     1.34e-09    7.01e-07    1.91e-03
2013 05 16  0120   56428   4800     1.00e-09    6.57e-07    1.52e-03
2013 05 16  0125   56428   5100     1.05e-09    6.47e-07    1.63e-03
2013 05 16  0130   56428   5400     1.04e-09    6.41e-07    1.62e-03
2013 05 16  0135   56428   5700     1.04e-09    6.45e-07    1.62e-03
2013 05 16  0140   56428   6000     1.03e-09    6.57e-07    1.57e-03
2013 05 16  0145   56428   6300     1.00e-09    6.48e-07    1.54e-03
2013 05 16  0150   56428   6600     1.00e-09    6.40e-07    1.56e-03
