:Data_list: 20130509_Gp_xr_5m.txt
:Created: 2013 May 10 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 09  0000   56421      0     1.76e-09    5.97e-07    2.95e-03
2013 05 09  0005   56421    300     1.23e-09    5.83e-07    2.11e-03
2013 05 09  0010   56421    600     1.09e-09    5.81e-07    1.87e-03
2013 05 09  0015   56421    900     1.43e-09    5.77e-07    2.48e-03
2013 05 09  0020   56421   1200     1.06e-09    5.65e-07    1.88e-03
2013 05 09  0025   56421   1500     1.01e-09    5.50e-07    1.83e-03
2013 05 09  0030   56421   1800     1.14e-09    5.59e-07    2.03e-03
2013 05 09  0035   56421   2100     2.49e-09    5.97e-07    4.15e-03
2013 05 09  0040   56421   2400     1.02e-09    5.79e-07    1.76e-03
2013 05 09  0045   56421   2700     1.02e-09    5.47e-07    1.86e-03
2013 05 09  0050   56421   3000     1.00e-09    5.21e-07    1.92e-03
2013 05 09  0055   56421   3300     1.00e-09    5.16e-07    1.94e-03
2013 05 09  0100   56421   3600     1.00e-09    5.08e-07    1.97e-03
2013 05 09  0105   56421   3900     1.08e-09    5.07e-07    2.13e-03
2013 05 09  0110   56421   4200     4.38e-09    5.77e-07    7.29e-03
2013 05 09  0115   56421   4500     3.05e-08    8.53e-07    3.51e-02
2013 05 09  0120   56421   4800     2.79e-08    9.47e-07    2.94e-02
2013 05 09  0125   56421   5100     2.02e-08    9.11e-07    2.22e-02
2013 05 09  0130   56421   5400     1.36e-08    8.40e-07    1.61e-02
2013 05 09  0135   56421   5700     9.35e-09    7.75e-07    1.21e-02
2013 05 09  0140   56421   6000     6.71e-09    7.20e-07    9.31e-03
2013 05 09  0145   56421   6300     3.65e-09    6.75e-07    5.39e-03
2013 05 09  0150   56421   6600     2.53e-09    6.45e-07    3.94e-03
2013 05 09  0155   56421   6900     2.34e-09    6.21e-07    3.77e-03
2013 05 09  0200   56421   7200     1.17e-09    6.01e-07    1.94e-03
2013 05 09  0205   56421   7500     1.08e-09    5.87e-07    1.84e-03
2013 05 09  0210   56421   7800     1.22e-09    5.86e-07    2.08e-03
2013 05 09  0215   56421   8100     1.13e-09    5.84e-07    1.94e-03
2013 05 09  0220   56421   8400     1.01e-09    5.81e-07    1.74e-03
2013 05 09  0225   56421   8700     1.50e-09    5.77e-07    2.61e-03
2013 05 09  0230   56421   9000     1.07e-09    5.81e-07    1.84e-03
2013 05 09  0235   56421   9300     1.05e-09    6.00e-07    1.74e-03
2013 05 09  0240   56421   9600     1.38e-09    6.57e-07    2.11e-03
2013 05 09  0245   56421   9900     1.11e-09    6.70e-07    1.66e-03
2013 05 09  0250   56421  10200     1.21e-08    7.63e-07    1.54e-02
2013 05 09  0255   56421  10500     3.96e-08    1.01e-06    3.89e-02
2013 05 09  0300   56421  10800     4.87e-08    1.16e-06    4.21e-02
2013 05 09  0305   56421  11100     5.25e-08    1.20e-06    4.37e-02
2013 05 09  0310   56421  11400     6.22e-08    1.27e-06    4.89e-02
2013 05 09  0315   56421  11700     6.28e-08    1.32e-06    4.76e-02
2013 05 09  0320   56421  12000     5.42e-08    1.30e-06    4.18e-02
2013 05 09  0325   56421  12300     4.61e-08    1.26e-06    3.67e-02
2013 05 09  0330   56421  12600     3.74e-08    1.23e-06    3.05e-02
2013 05 09  0335   56421  12900     3.15e-08    1.20e-06    2.62e-02
2013 05 09  0340   56421  13200     3.42e-08    1.20e-06    2.86e-02
2013 05 09  0345   56421  13500     2.92e-08    1.21e-06    2.41e-02
2013 05 09  0350   56421  13800     2.34e-08    1.15e-06    2.03e-02
2013 05 09  0355   56421  14100     1.98e-08    1.10e-06    1.80e-02
