:Data_list: 20130514_Gp_xr_5m.txt
:Created: 2013 May 15 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 14  0000   56426      0     1.85e-07    1.97e-06    7.60e-02
2013 05 14  0005   56426    300     2.76e-07    2.73e-06    1.00e-01
2013 05 14  0010   56426    600     5.17e-07    3.87e-06    1.34e-01
2013 05 14  0015   56426    900     5.99e-07    4.63e-06    1.29e-01
2013 05 14  0020   56426   1200     5.33e-07    4.51e-06    1.18e-01
2013 05 14  0025   56426   1500     4.02e-07    3.93e-06    1.02e-01
2013 05 14  0030   56426   1800     4.33e-07    3.96e-06    1.09e-01
2013 05 14  0035   56426   2100     4.69e-07    4.19e-06    1.12e-01
2013 05 14  0040   56426   2400     4.97e-07    4.75e-06    1.05e-01
2013 05 14  0045   56426   2700     4.08e-07    4.58e-06    8.90e-02
2013 05 14  0050   56426   3000     3.15e-07    4.06e-06    7.76e-02
2013 05 14  0055   56426   3300     3.56e-07    3.93e-06    9.01e-02
2013 05 14  0100   56426   3600     2.72e-06    1.04e-05    2.26e-01
2013 05 14  0105   56426   3900     5.61e-05    1.42e-04    3.84e-01
2013 05 14  0110   56426   4200     9.21e-05    3.04e-04    3.02e-01
2013 05 14  0115   56426   4500     5.21e-05    2.07e-04    2.50e-01
2013 05 14  0120   56426   4800     2.97e-05    1.36e-04    2.18e-01
2013 05 14  0125   56426   5100     2.03e-05    1.01e-04    2.01e-01
2013 05 14  0130   56426   5400     1.44e-05    7.74e-05    1.86e-01
2013 05 14  0135   56426   5700     1.10e-05    6.11e-05    1.80e-01
2013 05 14  0140   56426   6000     9.17e-06    5.18e-05    1.77e-01
