# Starbase Test CSV SpectrumLab data import
# See: http://www.qsl.net/dl4yhf/spectra1.html
# These data kindly supplied by Karl-Heinz Dansel
# Contact starbase@ukraa.com for support

# All Metadata are defined with {Key, Value, DataType, Units, Description}
# Keys, DataTypes and Units must appear in their respective Starbase Dictionaries

# This file represents an Observation, so initially it will contain only Observation Metadata

# These Metadata items are required for Charting support
Observation.Title,Test Spectrum Lab Timestamped 24 Channel CSV,String, Dimensionless,The title for the Chart
Observation.Axis.Label.X,Time,String, Dimensionless,The X axis
Observation.Axis.Label.Y.0,Signal dB,String, Dimensionless,The Y axis

# The Channel Count
Observation.Channel.Count,24,DecimalInteger,Dimensionless,The number of data channels

# Channel specifications

Observation.Channel.Name.0,Noise1,String,Dimensionless,The name of Channel 0
Observation.Channel.Description.0,Channel 0 output,String,Dimensionless,The description of Channel 0
Observation.Channel.DataType.0,DecimalFloat,DataType,Dimensionless,The DataType of Channel 0
Observation.Channel.Units.0,dB,Units,Dimensionless,The Units of Channel 0

Observation.Channel.Name.1,19.5 kHz,String,Dimensionless,The name of Channel 1
Observation.Channel.Description.1,Channel 1 output,String,Dimensionless,The description of Channel 1
Observation.Channel.DataType.1,DecimalFloat,DataType,Dimensionless,The DataType of Channel 1
Observation.Channel.Units.1,dB,Units,Dimensionless,The Units of Channel 1

Observation.Channel.Name.2,20.3 kHz,String,Dimensionless,The name of Channel 2
Observation.Channel.Description.2,Channel 2 output,String,Dimensionless,The description of Channel 2
Observation.Channel.DataType.2,DecimalFloat,DataType,Dimensionless,The DataType of Channel 2
Observation.Channel.Units.2,dB,Units,Dimensionless,The Units of Channel 2

Observation.Channel.Name.3,20.9 kHz,String,Dimensionless,The name of Channel 3
Observation.Channel.Description.3,Channel 3 output,String,Dimensionless,The description of Channel 3
Observation.Channel.DataType.3,DecimalFloat,DataType,Dimensionless,The DataType of Channel 3
Observation.Channel.Units.3,dB,Units,Dimensionless,The Units of Channel 3

Observation.Channel.Name.4,21.7 kHz,String,Dimensionless,The name of Channel 4
Observation.Channel.Description.4,Channel 4 output,String,Dimensionless,The description of Channel 4
Observation.Channel.DataType.4,DecimalFloat,DataType,Dimensionless,The DataType of Channel 4
Observation.Channel.Units.4,dB,Units,Dimensionless,The Units of Channel 4

Observation.Channel.Name.5,22.1 kHz,String,Dimensionless,The name of Channel 5
Observation.Channel.Description.5,Channel 5 output,String,Dimensionless,The description of Channel 5
Observation.Channel.DataType.5,DecimalFloat,DataType,Dimensionless,The DataType of Channel 5
Observation.Channel.Units.5,dB,Units,Dimensionless,The Units of Channel 5

Observation.Channel.Name.6,22.6 kHz,String,Dimensionless,The name of Channel 6
Observation.Channel.Description.6,Channel 6 output,String,Dimensionless,The description of Channel 6
Observation.Channel.DataType.6,DecimalFloat,DataType,Dimensionless,The DataType of Channel 6
Observation.Channel.Units.6,dB,Units,Dimensionless,The Units of Channel 6

Observation.Channel.Name.7,23.4 kHz,String,Dimensionless,The name of Channel 7
Observation.Channel.Description.7,Channel 7 output,String,Dimensionless,The description of Channel 7
Observation.Channel.DataType.7,DecimalFloat,DataType,Dimensionless,The DataType of Channel 7
Observation.Channel.Units.7,dB,Units,Dimensionless,The Units of Channel 7

Observation.Channel.Name.8,24.0 kHz,String,Dimensionless,The name of Channel 8
Observation.Channel.Description.8,Channel 8 output,String,Dimensionless,The description of Channel 8
Observation.Channel.DataType.8,DecimalFloat,DataType,Dimensionless,The DataType of Channel 8
Observation.Channel.Units.8,dB,Units,Dimensionless,The Units of Channel 8

Observation.Channel.Name.9,26.7 kHz,String,Dimensionless,The name of Channel 9
Observation.Channel.Description.9,Channel 9 output,String,Dimensionless,The description of Channel 9
Observation.Channel.DataType.9,DecimalFloat,DataType,Dimensionless,The DataType of Channel 9
Observation.Channel.Units.9,dB,Units,Dimensionless,The Units of Channel 9

Observation.Channel.Name.10,37.5 kHz,String,Dimensionless,The name of Channel 10
Observation.Channel.Description.10,Channel 10 output,String,Dimensionless,The description of Channel 10
Observation.Channel.DataType.10,DecimalFloat,DataType,Dimensionless,The DataType of Channel 10
Observation.Channel.Units.10,dB,Units,Dimensionless,The Units of Channel 10

Observation.Channel.Name.11,Noise2,String,Dimensionless,The name of Channel 11
Observation.Channel.Description.11,Channel 11 output,String,Dimensionless,The description of Channel 11
Observation.Channel.DataType.11,DecimalFloat,DataType,Dimensionless,The DataType of Channel 11
Observation.Channel.Units.11,dB,Units,Dimensionless,The Units of Channel 11

Observation.Channel.Name.12,44.2 kHz,String,Dimensionless,The name of Channel 12
Observation.Channel.Description.12,Channel 12 output,String,Dimensionless,The description of Channel 12
Observation.Channel.DataType.12,DecimalFloat,DataType,Dimensionless,The DataType of Channel 12
Observation.Channel.Units.12,dB,Units,Dimensionless,The Units of Channel 12

Observation.Channel.Name.13,45.9 kHz,String,Dimensionless,The name of Channel 13
Observation.Channel.Description.13,Channel 13 output,String,Dimensionless,The description of Channel 13
Observation.Channel.DataType.13,DecimalFloat,DataType,Dimensionless,The DataType of Channel 13
Observation.Channel.Units.13,dB,Units,Dimensionless,The Units of Channel 13

Observation.Channel.Name.14,52.0 kHz,String,Dimensionless,The name of Channel 14
Observation.Channel.Description.14,Channel 14 output,String,Dimensionless,The description of Channel 14
Observation.Channel.DataType.14,DecimalFloat,DataType,Dimensionless,The DataType of Channel 14
Observation.Channel.Units.14,dB,Units,Dimensionless,The Units of Channel 14

Observation.Channel.Name.15,53.4 kHz,String,Dimensionless,The name of Channel 15
Observation.Channel.Description.15,Channel 15 output,String,Dimensionless,The description of Channel 15
Observation.Channel.DataType.15,DecimalFloat,DataType,Dimensionless,The DataType of Channel 15
Observation.Channel.Units.15,dB,Units,Dimensionless,The Units of Channel 15

Observation.Channel.Name.16,60.0 kHz,String,Dimensionless,The name of Channel 16
Observation.Channel.Description.16,Channel 16 output,String,Dimensionless,The description of Channel 16
Observation.Channel.DataType.16,DecimalFloat,DataType,Dimensionless,The DataType of Channel 16
Observation.Channel.Units.16,dB,Units,Dimensionless,The Units of Channel 16

Observation.Channel.Name.17,63.9 kHz,String,Dimensionless,The name of Channel 17
Observation.Channel.Description.17,Channel 17 output,String,Dimensionless,The description of Channel 17
Observation.Channel.DataType.17,DecimalFloat,DataType,Dimensionless,The DataType of Channel 17
Observation.Channel.Units.17,dB,Units,Dimensionless,The Units of Channel 17

Observation.Channel.Name.18,66.6 kHz,String,Dimensionless,The name of Channel 18
Observation.Channel.Description.18,Channel 18 output,String,Dimensionless,The description of Channel 18
Observation.Channel.DataType.18,DecimalFloat,DataType,Dimensionless,The DataType of Channel 18
Observation.Channel.Units.18,dB,Units,Dimensionless,The Units of Channel 18

Observation.Channel.Name.19,75.0 kHz,String,Dimensionless,The name of Channel 19
Observation.Channel.Description.19,Channel 19 output,String,Dimensionless,The description of Channel 19
Observation.Channel.DataType.19,DecimalFloat,DataType,Dimensionless,The DataType of Channel 19
Observation.Channel.Units.19,dB,Units,Dimensionless,The Units of Channel 19

Observation.Channel.Name.20,77.5 kHz,String,Dimensionless,The name of Channel 20
Observation.Channel.Description.20,Channel 20 output,String,Dimensionless,The description of Channel 20
Observation.Channel.DataType.20,DecimalFloat,DataType,Dimensionless,The DataType of Channel 20
Observation.Channel.Units.20,dB,Units,Dimensionless,The Units of Channel 20

Observation.Channel.Name.21,81.0 kHz,String,Dimensionless,The name of Channel 21
Observation.Channel.Description.21,Channel 21 output,String,Dimensionless,The description of Channel 21
Observation.Channel.DataType.21,DecimalFloat,DataType,Dimensionless,The DataType of Channel 21
Observation.Channel.Units.21,dB,Units,Dimensionless,The Units of Channel 21

Observation.Channel.Name.22,82.8 kHz,String,Dimensionless,The name of Channel 22
Observation.Channel.Description.22,Channel 22 output,String,Dimensionless,The description of Channel 22
Observation.Channel.DataType.22,DecimalFloat,DataType,Dimensionless,The DataType of Channel 22
Observation.Channel.Units.22,dB,Units,Dimensionless,The Units of Channel 22

Observation.Channel.Name.23,93.8 kHz,String,Dimensionless,The name of Channel 23
Observation.Channel.Description.23,Channel 23 output,String,Dimensionless,The description of Channel 23
Observation.Channel.DataType.23,DecimalFloat,DataType,Dimensionless,The DataType of Channel 23
Observation.Channel.Units.23,dB,Units,Dimensionless,The Units of Channel 23

# Channel Colours grouped together for simplicity, and for ease of copying into code or other files
Observation.Channel.Colour.0, r=255 g=000 b=000,ColourData,Dimensionless,The Colour of the Channel 0 graph
Observation.Channel.Colour.1, r=255 g=102 b=000,ColourData,Dimensionless,The Colour of the Channel 1 graph
Observation.Channel.Colour.2, r=255 g=153 b=000,ColourData,Dimensionless,The Colour of the Channel 2 graph
Observation.Channel.Colour.3, r=255 g=204 b=000,ColourData,Dimensionless,The Colour of the Channel 3 graph
Observation.Channel.Colour.4, r=170 g=230 b=000,ColourData,Dimensionless,The Colour of the Channel 4 graph
Observation.Channel.Colour.5, r=000 g=204 b=000,ColourData,Dimensionless,The Colour of the Channel 5 graph
Observation.Channel.Colour.6, r=255 g=153 b=204,ColourData,Dimensionless,The Colour of the Channel 6 graph
Observation.Channel.Colour.7, r=000 g=085 b=204,ColourData,Dimensionless,The Colour of the Channel 7 graph
Observation.Channel.Colour.8, r=255 g=000 b=000,ColourData,Dimensionless,The Colour of the Channel 8 graph
Observation.Channel.Colour.9, r=255 g=102 b=000,ColourData,Dimensionless,The Colour of the Channel 9 graph
Observation.Channel.Colour.10,r=255 g=153 b=000,ColourData,Dimensionless,The Colour of the Channel 10 graph
Observation.Channel.Colour.11,r=255 g=204 b=000,ColourData,Dimensionless,The Colour of the Channel 11 graph
Observation.Channel.Colour.12,r=170 g=230 b=000,ColourData,Dimensionless,The Colour of the Channel 12 graph
Observation.Channel.Colour.13,r=000 g=204 b=000,ColourData,Dimensionless,The Colour of the Channel 13 graph
Observation.Channel.Colour.14,r=255 g=153 b=204,ColourData,Dimensionless,The Colour of the Channel 14 graph
Observation.Channel.Colour.15,r=000 g=085 b=204,ColourData,Dimensionless,The Colour of the Channel 15 graph
Observation.Channel.Colour.16,r=255 g=000 b=000,ColourData,Dimensionless,The Colour of the Channel 16 graph
Observation.Channel.Colour.17,r=255 g=102 b=000,ColourData,Dimensionless,The Colour of the Channel 17 graph
Observation.Channel.Colour.18,r=255 g=153 b=000,ColourData,Dimensionless,The Colour of the Channel 18 graph
Observation.Channel.Colour.19,r=255 g=204 b=000,ColourData,Dimensionless,The Colour of the Channel 19 graph
Observation.Channel.Colour.20,r=170 g=230 b=000,ColourData,Dimensionless,The Colour of the Channel 20 graph
Observation.Channel.Colour.21,r=000 g=204 b=000,ColourData,Dimensionless,The Colour of the Channel 21 graph
Observation.Channel.Colour.22,r=255 g=153 b=204,ColourData,Dimensionless,The Colour of the Channel 22 graph
Observation.Channel.Colour.23,r=000 g=085 b=204,ColourData,Dimensionless,The Colour of the Channel 23 graph

# Date,Time,Noise1,19k5,20k3,20k9,21k7,22k1,22k6,23k4,24k0,26k7,37k5,Noise2,44k2,45k9,52k0,53k4,60k0,63k9,66k6,75k0,77k5,81k0,82k8,93k8

2012-01-19,12:00:00,-127.41,-110.7,-116.81,-90.37,-115.21,-98.95,-114.47,-71.35,-111.71,-104.92,-112.32,-128.67,-115.1,-111.68,-107.05,-113.11,-87.41,-89.0,-98.62,-111.18,-81.62,-96.74,-110.74,-107.15
2012-01-19,12:00:02,-127.46,-109.62,-114.5,-90.36,-113.74,-99.74,-114.34,-71.68,-110.36,-103.94,-112.4,-127.96,-120.84,-111.97,-105.1,-112.91,-87.02,-90.27,-98.28,-111.05,-81.26,-95.9,-108.46,-106.05
2012-01-19,12:00:04,-127.42,-113.7,-114.75,-88.75,-115.25,-99.38,-114.75,-72.46,-108.91,-104.12,-111.76,-128.71,-118.34,-112.0,-104.11,-113.2,-86.87,-88.5,-98.85,-109.35,-81.76,-94.13,-108.23,-105.32
2012-01-19,12:00:06,-127.42,-110.96,-116.02,-90.09,-113.77,-99.86,-112.53,-71.88,-111.26,-105.82,-111.68,-129.56,-119.38,-110.59,-108.07,-112.6,-86.95,-87.98,-98.68,-109.21,-81.04,-97.0,-106.78,-105.51
2012-01-19,12:00:08,-127.44,-111.77,-115.59,-89.65,-114.39,-99.55,-114.8,-71.22,-111.41,-105.08,-113.46,-128.69,-119.46,-112.42,-104.05,-114.77,-86.88,-89.97,-98.17,-111.34,-81.41,-96.86,-108.44,-107.25
2012-01-19,12:00:10,-127.19,-110.98,-115.63,-90.11,-114.65,-98.6,-114.09,-73.01,-111.14,-104.49,-112.39,-129.33,-118.87,-111.92,-106.26,-115.61,-87.11,-89.14,-98.4,-110.45,-81.43,-94.68,-107.59,-106.76
2012-01-19,12:00:12,-127.49,-111.2,-116.22,-90.16,-113.82,-99.75,-114.75,-71.8,-109.16,-103.96,-111.77,-129.43,-119.87,-112.15,-104.6,-114.77,-87.06,-88.49,-98.25,-110.79,-81.32,-97.42,-110.11,-107.2
2012-01-19,12:00:14,-127.56,-111.49,-115.35,-89.22,-116.7,-99.65,-113.86,-73.07,-109.66,-104.28,-111.9,-129.06,-121.05,-113.09,-105.32,-113.76,-87.07,-89.74,-97.82,-110.83,-81.96,-96.91,-108.2,-108.33
2012-01-19,12:00:16,-127.33,-110.91,-117.71,-89.81,-116.78,-98.94,-114.57,-72.19,-111.34,-105.0,-112.3,-128.92,-118.41,-110.91,-107.1,-113.64,-87.03,-87.6,-98.22,-111.11,-81.4,-95.32,-107.22,-107.12
2012-01-19,12:00:18,-127.48,-112.02,-116.71,-89.19,-114.95,-99.19,-112.84,-72.64,-111.76,-105.35,-111.77,-129.24,-118.48,-111.64,-106.08,-115.92,-86.96,-89.9,-98.77,-111.36,-81.75,-95.67,-109.19,-107.85
2012-01-19,12:00:20,-127.27,-110.52,-114.96,-89.55,-117.23,-98.69,-114.79,-70.79,-110.98,-104.92,-112.73,-128.37,-118.71,-112.23,-105.61,-114.59,-86.98,-88.09,-98.71,-108.96,-81.67,-95.35,-110.63,-105.93
2012-01-19,12:00:22,-127.63,-111.79,-115.27,-88.93,-115.79,-99.76,-115.78,-72.88,-110.43,-105.55,-112.81,-129.75,-119.44,-110.74,-111.16,-112.25,-87.15,-86.39,-98.9,-109.39,-81.47,-95.29,-108.56,-105.19
2012-01-19,12:00:24,-127.59,-111.86,-118.19,-90.28,-116.27,-99.65,-113.76,-72.3,-109.59,-104.47,-111.28,-129.81,-122.94,-111.74,-107.13,-113.78,-87.15,-87.37,-98.7,-109.18,-81.68,-97.06,-108.48,-106.84
2012-01-19,12:00:26,-127.79,-111.0,-114.5,-89.9,-114.26,-98.12,-114.16,-71.92,-110.92,-105.85,-111.11,-129.63,-119.87,-111.25,-106.03,-112.76,-86.94,-88.37,-98.25,-109.93,-81.53,-95.29,-107.27,-106.23
2012-01-19,12:00:28,-127.31,-112.05,-116.32,-90.01,-116.54,-99.58,-115.81,-72.69,-111.49,-105.13,-113.22,-129.02,-118.83,-111.98,-105.82,-114.91,-86.96,-88.05,-97.63,-110.23,-81.46,-97.41,-109.04,-105.82
